0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.01,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,-0.09,0.08,-0.16,0.85,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,-1.34,1.19,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.03,0.08,0.08,0.89,-1.47,-0.88,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.02,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,-0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,


0.99,-0.01,-0.00,-0.14,0.99,0.07,0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

0.99,-0.01,-0.00,-0.14,0.99,0.07,0.00,0.11,1.00,-0.01,-0.01,0.06,1.00,0.00,0.00,0.03,1.00,0.02,-0.03,0.01,0.99,-0.10,-0.04,-0.08,0.92,-0.02,-0.39,0.03,

